login,time,total_pnl,by_symbol,num_positions
183459647,2025-07-25T00:41:02.014262,-1.07,"{'GBPCADc': 9.42, 'EURUSDc': -0.56, 'AUDJPYc': -0.16, 'EURNZDc': 0.02, 'USDCHFc': -8.06}",5
263006287,2025-07-25T00:41:12.020082,11.26,"{'NZDUSDc': -2.37, 'GBPJPYc': 7.83, 'EURCADc': -1.08, 'AUDCHFc': 7.37, 'EURUSDc': -0.47}",5
183459647,2025-07-25T00:41:12.033521,-1.09,"{'GBPCADc': 9.44, 'EURUSDc': -0.58, 'AUDJPYc': -0.16, 'EURNZDc': 0.0, 'USDCHFc': -8.06}",5
263006287,2025-07-25T00:41:22.041733,11.3,"{'NZDUSDc': -2.37, 'GBPJPYc': 7.88, 'EURCADc': -1.08, 'AUDCHFc': 7.37, 'EURUSDc': -0.48}",5
183459647,2025-07-25T00:41:22.056752,-1.09,"{'GBPCADc': 9.44, 'EURUSDc': -0.59, 'AUDJPYc': -0.16, 'EURNZDc': 0.01, 'USDCHFc': -8.06}",5
263006287,2025-07-25T00:41:32.054684,11.21,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.85, 'EURCADc': -1.11, 'AUDCHFc': 7.37, 'EURUSDc': -0.5}",5
183459647,2025-07-25T00:41:32.070968,-1.13,"{'GBPCADc': 9.45, 'EURUSDc': -0.61, 'AUDJPYc': -0.16, 'EURNZDc': 0.0, 'USDCHFc': -8.08}",5
263006287,2025-07-25T00:41:35.607202,11.26,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.87, 'EURCADc': -1.09, 'AUDCHFc': 7.36, 'EURUSDc': -0.48}",5
183459647,2025-07-25T00:41:35.637014,-1.08,"{'GBPCADc': 9.45, 'EURUSDc': -0.59, 'AUDJPYc': -0.14, 'EURNZDc': -0.01, 'USDCHFc': -8.06}",5
263006287,2025-07-25T00:41:45.629410,11.18,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.88, 'EURCADc': -1.11, 'AUDCHFc': 7.37, 'EURUSDc': -0.56}",5
183459647,2025-07-25T00:41:45.660022,-1.25,"{'GBPCADc': 9.45, 'EURUSDc': -0.67, 'AUDJPYc': -0.17, 'EURNZDc': -0.07, 'USDCHFc': -8.06}",5
263006287,2025-07-25T00:41:55.645200,11.18,"{'NZDUSDc': -2.39, 'GBPJPYc': 7.88, 'EURCADc': -1.1, 'AUDCHFc': 7.37, 'EURUSDc': -0.56}",5
183459647,2025-07-25T00:41:55.675981,-1.21,"{'GBPCADc': 9.45, 'EURUSDc': -0.67, 'AUDJPYc': -0.16, 'EURNZDc': -0.05, 'USDCHFc': -8.05}",5
263006287,2025-07-25T00:42:05.666069,11.13,"{'NZDUSDc': -2.4, 'GBPJPYc': 7.96, 'EURCADc': -1.14, 'AUDCHFc': 7.36, 'EURUSDc': -0.63}",5
183459647,2025-07-25T00:42:05.681971,-1.41,"{'GBPCADc': 9.41, 'EURUSDc': -0.74, 'AUDJPYc': -0.16, 'EURNZDc': -0.1, 'USDCHFc': -8.09}",5
263006287,2025-07-25T00:42:15.681974,11.38,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.98, 'EURCADc': -1.06, 'AUDCHFc': 7.39, 'EURUSDc': -0.53}",5
183459647,2025-07-25T00:42:15.710140,-1.15,"{'GBPCADc': 9.44, 'EURUSDc': -0.64, 'AUDJPYc': -0.14, 'EURNZDc': -0.04, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:42:25.709283,11.33,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.93, 'EURCADc': -1.06, 'AUDCHFc': 7.39, 'EURUSDc': -0.53}",5
183459647,2025-07-25T00:42:25.725026,-1.17,"{'GBPCADc': 9.43, 'EURUSDc': -0.64, 'AUDJPYc': -0.15, 'EURNZDc': -0.04, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:42:35.722620,11.29,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.92, 'EURCADc': -1.08, 'AUDCHFc': 7.39, 'EURUSDc': -0.54}",5
183459647,2025-07-25T00:42:35.738278,-1.2,"{'GBPCADc': 9.42, 'EURUSDc': -0.65, 'AUDJPYc': -0.16, 'EURNZDc': -0.04, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:42:45.732915,11.27,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.9, 'EURCADc': -1.08, 'AUDCHFc': 7.38, 'EURUSDc': -0.53}",5
183459647,2025-07-25T00:42:45.748024,-1.2,"{'GBPCADc': 9.42, 'EURUSDc': -0.64, 'AUDJPYc': -0.16, 'EURNZDc': -0.04, 'USDCHFc': -8.05}",5
183459647,2025-07-25T00:42:55.754301,-1.19,"{'GBPCADc': 9.45, 'EURUSDc': -0.65, 'AUDJPYc': -0.16, 'EURNZDc': -0.05, 'USDCHFc': -8.05}",5
263006287,2025-07-25T00:42:55.754301,11.28,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.91, 'EURCADc': -1.07, 'AUDCHFc': 7.38, 'EURUSDc': -0.54}",5
183459647,2025-07-25T00:43:05.768098,-1.18,"{'GBPCADc': 9.44, 'EURUSDc': -0.65, 'AUDJPYc': -0.15, 'EURNZDc': -0.05, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:43:05.782922,11.31,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.93, 'EURCADc': -1.07, 'AUDCHFc': 7.39, 'EURUSDc': -0.54}",5
183459647,2025-07-25T00:43:15.792160,-0.91,"{'GBPCADc': 9.59, 'EURUSDc': -0.61, 'AUDJPYc': -0.14, 'EURNZDc': -0.02, 'USDCHFc': -8.0}",5
263006287,2025-07-25T00:43:15.806859,11.4,"{'NZDUSDc': -2.38, 'GBPJPYc': 7.85, 'EURCADc': -0.97, 'AUDCHFc': 7.42, 'EURUSDc': -0.5}",5
183459647,2025-07-25T00:43:25.803082,-0.84,"{'GBPCADc': 9.65, 'EURUSDc': -0.57, 'AUDJPYc': -0.15, 'EURNZDc': -0.08, 'USDCHFc': -7.96}",5
263006287,2025-07-25T00:43:25.819150,11.47,"{'NZDUSDc': -2.33, 'GBPJPYc': 7.82, 'EURCADc': -0.95, 'AUDCHFc': 7.41, 'EURUSDc': -0.46}",5
183459647,2025-07-25T00:43:35.817244,-0.86,"{'GBPCADc': 9.65, 'EURUSDc': -0.59, 'AUDJPYc': -0.15, 'EURNZDc': -0.07, 'USDCHFc': -7.97}",5
263006287,2025-07-25T00:43:35.832532,11.49,"{'NZDUSDc': -2.36, 'GBPJPYc': 7.89, 'EURCADc': -0.95, 'AUDCHFc': 7.41, 'EURUSDc': -0.48}",5
183459647,2025-07-25T00:43:45.837778,-1.08,"{'GBPCADc': 9.53, 'EURUSDc': -0.65, 'AUDJPYc': -0.14, 'EURNZDc': -0.1, 'USDCHFc': -7.99}",5
263006287,2025-07-25T00:43:45.853249,11.53,"{'NZDUSDc': -2.35, 'GBPJPYc': 8.0, 'EURCADc': -0.97, 'AUDCHFc': 7.41, 'EURUSDc': -0.54}",5
183459647,2025-07-25T00:43:55.857766,-1.06,"{'GBPCADc': 9.54, 'EURUSDc': -0.65, 'AUDJPYc': -0.14, 'EURNZDc': -0.09, 'USDCHFc': -7.99}",5
